threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,positive_prediction_rate,business_value
0.05,365,725,310,9,0.3348623853211009,0.9759358288770054,0.49863387978142076,0.47906316536550747,0.7735982966643009,32250.0
0.1,360,627,408,14,0.364741641337386,0.9625668449197861,0.5290227773695811,0.5450674237047551,0.7004968062455642,33650.0
0.15,354,556,479,20,0.389010989010989,0.946524064171123,0.5514018691588786,0.5911994322214337,0.6458481192334989,33000.0
0.2,348,491,544,26,0.41477949940405245,0.93048128342246,0.5737840065952186,0.6330731014904187,0.595457771469127,32050.0
0.25,338,441,594,36,0.4338896020539153,0.9037433155080213,0.5862966175195143,0.6614620298083748,0.552874378992193,27550.0
0.3,332,398,637,42,0.4547945205479452,0.8877005347593583,0.6014492753623187,0.687721788502484,0.518097941802697,25500.0
0.35,319,361,674,55,0.46911764705882353,0.8529411764705882,0.6053130929791272,0.7047551454932577,0.48261178140525196,18250.0
0.4,305,321,714,69,0.48722044728434505,0.8155080213903744,0.61,0.723207948899929,0.44428672817601134,10450.0
0.45,294,289,746,80,0.5042881646655232,0.786096256684492,0.6144200626959248,0.7381121362668559,0.4137686302342087,4350.0
0.5,287,247,788,87,0.5374531835205992,0.767379679144385,0.6321585903083701,0.7629524485450674,0.37899219304471254,1550.0
0.55,278,223,812,96,0.5548902195608783,0.7433155080213903,0.6354285714285715,0.7735982966643009,0.35557132718239887,-3550.0
0.6,253,196,839,121,0.5634743875278396,0.6764705882352942,0.6148238153098421,0.7750177430801988,0.31866572036905605,-19700.0
0.65,234,165,870,140,0.5864661654135338,0.6256684491978609,0.6054333764553687,0.7835344215755855,0.2831795599716111,-31450.0
0.7,211,124,911,163,0.6298507462686567,0.5641711229946524,0.5952045133991537,0.7963094393186657,0.23775727466288146,-45500.0
0.75,178,87,948,196,0.6716981132075471,0.47593582887700536,0.5571205007824727,0.7991483321504613,0.1880766501064585,-66750.0
0.8,145,60,975,229,0.7073170731707317,0.3877005347593583,0.5008635578583766,0.794889992902768,0.14549325762952448,-88500.0
0.85,104,33,1002,270,0.7591240875912408,0.27807486631016043,0.4070450097847358,0.7849538679914834,0.09723207948899928,-115850.0
0.9,68,16,1019,306,0.8095238095238095,0.18181818181818182,0.29694323144104806,0.7714691270404542,0.05961674946770759,-140200.0
0.95,18,2,1033,356,0.9,0.0481283422459893,0.09137055837563451,0.7459190915542938,0.014194464158977998,-174500.0
