customerID,Contract,tenure,MonthlyCharges,y_true,y_proba,y_pred,error_type
4376-KFVRS,Two year,72,114.05,0,0.11540107531148079,0,TN
2754-SDJRD,Month-to-month,8,100.15,0,0.8520965174299432,1,FP
9917-KWRBE,One year,41,78.35,0,0.14604071935385773,0,TN
0365-GXEZS,Month-to-month,18,78.2,0,0.6611488583987779,1,FP
9385-NXKDA,Two year,72,82.65,0,0.05984694598714222,0,TN
4686-UXDML,Month-to-month,21,99.85,0,0.8054266413666303,1,FP
2227-JRSJX,Month-to-month,21,99.15,0,0.6983582204678415,1,FP
4830-FAXFM,Month-to-month,19,24.1,0,0.2926336355058058,0,TN
1830-IPXVJ,Two year,61,19.75,0,0.009086130922237309,0,TN
4690-LLKUA,Month-to-month,17,45.05,1,0.6520589107907523,1,TP
5804-HYIEZ,Month-to-month,70,106.05,0,0.5187979926367815,1,FP
2388-LAESQ,Two year,72,114.85,0,0.15005406118755574,0,TN
5533-RJFTJ,Month-to-month,49,30.2,0,0.3119239091221646,0,TN
4706-AXVKM,Month-to-month,11,84.8,1,0.8530879257483878,1,TP
0997-YTLNY,Month-to-month,19,48.8,0,0.2988408596030952,0,TN
7971-HLVXI,Two year,72,84.5,0,0.14758335501039432,0,TN
7337-CINUD,Two year,8,19.5,0,0.07801169546424959,0,TN
1379-FRVEB,Month-to-month,15,91.0,0,0.8199689005076619,1,FP
4753-PADAS,One year,67,105.7,0,0.3806190616736318,0,TN
5701-GUXDC,One year,26,35.4,0,0.20808755042476704,0,TN
7235-NXZCP,Month-to-month,2,74.85,1,0.865403914863343,1,TP
0668-OGMHD,Month-to-month,21,28.5,0,0.5115946460909042,1,FP
2812-REYAT,One year,49,20.05,0,0.05021451925806861,0,TN
8779-YIQQA,One year,21,19.8,0,0.09636789172398705,0,TN
9701-CDXHR,Month-to-month,51,69.15,0,0.40036362526295294,0,TN
7130-CTCUS,Month-to-month,16,54.55,0,0.43179168358577846,0,TN
1894-IGFSG,Month-to-month,22,89.25,1,0.7967255623762474,1,TP
0871-URUWO,Month-to-month,13,102.25,1,0.8547162089287605,1,TP
0057-QBUQH,Two year,43,25.1,0,0.04914223734997283,0,TN
9611-CTWIH,Month-to-month,3,89.45,1,0.9030115860093086,1,TP
8058-DMYRU,Month-to-month,54,90.05,0,0.7040765513211268,1,FP
5351-QESIO,Month-to-month,1,24.2,0,0.6664818459999075,1,FP
4302-ZYFEL,One year,69,20.55,0,0.01839630136518145,0,TN
6134-KWTBV,Two year,62,23.4,0,0.014723867424441235,0,TN
2034-GDRCN,Month-to-month,2,90.4,1,0.9038812489357261,1,TP
9544-PYPSJ,Month-to-month,62,96.1,0,0.50110350826527,1,FP
4208-UFFGW,Month-to-month,2,44.95,1,0.622181235193369,1,TP
9537-JALFH,Two year,69,19.9,0,0.006545749532655918,0,TN
4415-IJZTP,Month-to-month,1,74.5,1,0.8871450926668916,1,TP
4701-MLJPN,Month-to-month,31,55.25,1,0.4047439202093725,0,FN
7515-LODFU,Two year,69,20.3,0,0.00928786326931907,0,TN
4927-WWOOZ,Month-to-month,2,91.45,0,0.9012387005417631,1,FP
4067-HLYQI,Month-to-month,33,70.4,0,0.6007799727385754,1,FP
6184-DYUOB,Month-to-month,3,19.6,0,0.45078882967919665,0,TN
9209-NWPGU,One year,44,65.4,0,0.11944203426171647,0,TN
9851-KIELU,Month-to-month,10,110.1,1,0.7495553211367629,1,TP
3199-XGZCY,Month-to-month,8,75.25,0,0.861175833533628,1,FP
4226-KKDON,Month-to-month,8,66.65,0,0.6227537684622534,1,FP
1085-LDWAM,One year,69,20.35,0,0.01804864192859322,0,TN
6825-UYPFK,Month-to-month,23,75.6,1,0.6529316121194897,1,TP
1767-CJKBA,Two year,66,25.1,0,0.013134558530369458,0,TN
7181-BQYBV,Month-to-month,1,102.45,1,0.8686871099849613,1,TP
0178-CIIKR,Month-to-month,3,19.95,0,0.36377014178393374,0,TN
4256-ZWTZI,Month-to-month,5,51.0,0,0.48584561474646887,0,TN
9537-VHDTA,Month-to-month,1,51.2,0,0.4183081856286691,0,TN
2754-XBHTB,Month-to-month,9,77.65,1,0.8096814157424704,1,TP
5975-BAICR,One year,36,63.7,0,0.1606439844166728,0,TN
3301-VKTGC,One year,68,85.5,0,0.14225346400663208,0,TN
2877-VDUER,One year,35,40.9,0,0.17921940355296004,0,TN
7717-BICXI,Two year,60,20.55,0,0.009954059258082243,0,TN
0562-FGDCR,Two year,72,74.55,0,0.018673655354165077,0,TN
3705-PSNGL,One year,45,20.4,1,0.08727528682161274,0,FN
0048-LUMLS,One year,37,91.2,0,0.39980523223274017,0,TN
6497-TILVL,Month-to-month,7,50.7,0,0.3738544767088247,0,TN
2108-YKQTY,Month-to-month,4,50.7,1,0.5001668222834578,1,TP
3658-KIBGF,Month-to-month,1,54.9,1,0.6105483558726055,1,TP
5482-NUPNA,Month-to-month,4,60.4,1,0.4109701017310177,0,FN
7410-KTVFV,Month-to-month,18,49.55,1,0.5212354075990863,1,TP
9033-EOXWV,One year,12,74.05,1,0.4118724733057201,0,FN
8821-XNHVZ,Month-to-month,1,80.05,1,0.8136067027924019,1,TP
8224-KDLKN,Two year,72,25.0,0,0.007771094546937539,0,TN
4825-FUREZ,Two year,42,20.25,0,0.03702789064847366,0,TN
7534-BFESC,Month-to-month,24,76.1,1,0.81534094717448,1,TP
9138-EFSMO,One year,26,78.95,0,0.42230935786559515,0,TN
4227-OJHAL,One year,68,73.0,0,0.07648167685092049,0,TN
7279-NMVJC,One year,17,19.9,0,0.1263391923536443,0,TN
8591-TKMZH,Two year,59,111.1,0,0.14489551262225142,0,TN
9283-LZQOH,Month-to-month,13,74.4,1,0.7498865902344938,1,TP
3594-IVHJZ,Month-to-month,2,20.45,0,0.4522776456763802,0,TN
1945-XISKS,Two year,67,19.65,0,0.009203290365235093,0,TN
4359-INNWN,One year,17,20.05,0,0.12610956363673723,0,TN
7649-SIJJF,Two year,71,80.1,0,0.03489841242979827,0,TN
9254-RBFON,One year,17,98.6,1,0.45586751752511984,0,FN
0970-ETWGE,Month-to-month,1,89.55,1,0.9107097910892531,1,TP
7762-ONLJY,One year,6,19.7,0,0.16428472931361052,0,TN
6710-HSJRD,Month-to-month,61,114.1,0,0.6425274806393465,1,FP
8873-GLDMH,Month-to-month,6,73.85,0,0.8270178362623931,1,FP
9907-SWKKF,Month-to-month,1,25.05,1,0.7356131673999667,1,TP
4658-HCOHW,Month-to-month,21,102.8,1,0.7392318982608892,1,TP
9330-VOFSZ,Two year,60,110.8,0,0.21821301133238338,0,TN
2860-RANUS,Month-to-month,20,85.8,1,0.8160814616235228,1,TP
6234-PFPXL,Month-to-month,22,95.9,0,0.5632413127396383,1,FP
7205-BAIAD,Two year,40,20.6,0,0.03590273900505322,0,TN
3858-VOBET,Month-to-month,23,74.95,1,0.8029058671496374,1,TP
5103-MHMHY,Month-to-month,1,45.95,1,0.5250691418022306,1,TP
6119-SPUDB,Two year,46,38.25,0,0.04485494844682391,0,TN
9389-ACWBI,Month-to-month,5,69.95,0,0.675670781391777,1,FP
3454-JFUBC,Two year,68,20.0,0,0.013752065786049194,0,TN
1768-ZAIFU,Month-to-month,1,25.2,1,0.8460334506254009,1,TP
7017-VFULY,Month-to-month,2,20.1,0,0.36525138453638134,0,TN
9221-OTIVJ,Month-to-month,14,104.85,1,0.8960957825528819,1,TP
2482-CZGBB,Month-to-month,10,70.0,1,0.8276932467314522,1,TP
7018-WBJNK,Month-to-month,13,78.3,0,0.7530582935659055,1,FP
3331-HQDTW,Month-to-month,34,109.8,1,0.674820885299133,1,TP
4695-VADHF,Month-to-month,18,57.45,1,0.5453890350985213,1,TP
4086-WITJG,Two year,71,19.7,0,0.005918328078410624,0,TN
6297-NOOPG,Two year,70,110.5,0,0.24973216971693987,0,TN
8777-PVYGU,One year,52,64.3,0,0.1267791225116196,0,TN
4378-MYPGO,Two year,68,105.25,0,0.11674766287684846,0,TN
9313-CDOGY,Month-to-month,38,19.6,0,0.13402021084092422,0,TN
4121-AGSIN,One year,58,24.5,0,0.03834877702932722,0,TN
0432-CAJZV,Month-to-month,3,90.7,0,0.8250189030040885,1,FP
9097-ZUBYC,Month-to-month,14,48.8,0,0.3886910659852559,0,TN
9638-JIQYA,Month-to-month,2,24.9,0,0.7590301036943031,1,FP
1024-GUALD,Month-to-month,1,24.8,1,0.829069613486094,1,TP
8024-XNAFQ,Two year,72,107.4,0,0.10479073815544547,0,TN
7587-RZNME,Month-to-month,3,43.3,1,0.7367688017923425,1,TP
1346-UFHAX,Month-to-month,13,80.0,0,0.7038334025954656,1,FP
6374-NTQLP,Two year,72,104.1,0,0.10269838608708202,0,TN
6625-FLENO,Two year,58,20.75,0,0.013575540901829608,0,TN
7375-WMVMT,Two year,71,95.5,0,0.11585068526685816,0,TN
6910-HADCM,Month-to-month,1,76.35,1,0.8024527114366369,1,TP
7401-JIXNM,Two year,54,91.3,0,0.04218129258863883,0,TN
7338-ERIVA,One year,39,45.05,0,0.11231680692270454,0,TN
5376-DEQCP,Month-to-month,1,70.6,1,0.858349360572931,1,TP
0909-SELIE,Two year,61,80.8,0,0.044160879582244746,0,TN
5419-KLXBN,Month-to-month,25,89.15,1,0.6386074428737826,1,TP
0365-TRTPY,Month-to-month,37,91.2,0,0.4178730288010136,0,TN
6712-OAWRH,Month-to-month,26,91.25,1,0.8475872148998844,1,TP
2428-ZMCTB,Month-to-month,10,19.75,0,0.29544335101829494,0,TN
1963-VAUKV,Month-to-month,1,20.4,1,0.3812248101822398,0,FN
9381-NDKME,Month-to-month,24,40.65,1,0.6523051555662596,1,TP
3729-OWRVL,Two year,65,110.35,0,0.25626256059947017,0,TN
0895-LMRSF,One year,23,64.9,0,0.42189195302503174,0,TN
2676-SSLTO,Two year,49,66.15,0,0.09291598038005816,0,TN
8495-PRWFH,Month-to-month,42,55.65,0,0.4056038117129694,0,TN
9030-QGZNL,Two year,8,20.85,0,0.09654074289856136,0,TN
9972-NKTFD,Month-to-month,28,54.65,0,0.2389960423727411,0,TN
7998-WNZEM,Two year,71,80.6,0,0.023850493453517304,0,TN
0979-PHULV,Month-to-month,69,99.45,1,0.5457762700349561,1,TP
