threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,positive_prediction_rate
0.05,372,831,204,2,0.3092269326683292,0.9946524064171123,0.47178186429930247,0.4088005677785664,0.8537970191625266
0.1,370,715,320,4,0.34101382488479265,0.9893048128342246,0.507196710075394,0.48970901348474094,0.7700496806245565
0.15,365,629,406,9,0.3672032193158954,0.9759358288770054,0.5336257309941521,0.5471965933286018,0.7054648687012065
0.2,360,566,469,14,0.38876889848812096,0.9625668449197861,0.5538461538461539,0.5883605393896381,0.6572036905606813
0.25,351,510,525,23,0.4076655052264808,0.9385026737967914,0.5684210526315789,0.6217175301632364,0.6110716820440029
0.3,347,461,574,27,0.42945544554455445,0.9278074866310161,0.5871404399323181,0.6536550745209369,0.5734563520227112
0.35,339,418,617,35,0.4478203434610304,0.9064171122994652,0.5994694960212202,0.6784953867991483,0.5372604684173172
0.4,324,372,663,50,0.46551724137931033,0.8663101604278075,0.605607476635514,0.7004968062455642,0.49396735273243436
0.45,313,335,700,61,0.48302469135802467,0.8368983957219251,0.6125244618395302,0.7189496096522356,0.45990063875088716
0.5,293,289,746,81,0.5034364261168385,0.7834224598930482,0.6129707112970711,0.7374024130589071,0.41305890702625975
0.55,282,255,780,92,0.5251396648044693,0.7540106951871658,0.6190998902305158,0.7537260468417317,0.3811213626685593
0.6,264,226,809,110,0.5387755102040817,0.7058823529411765,0.6111111111111113,0.7615330021291696,0.34776437189496096
0.65,250,190,845,124,0.5681818181818182,0.6684491978609626,0.6142506142506142,0.7771469127040455,0.31227821149751595
0.7,225,149,886,149,0.6016042780748663,0.6016042780748663,0.6016042780748663,0.7885024840312278,0.2654364797728886
0.75,189,99,936,185,0.65625,0.5053475935828877,0.5709969788519638,0.7984386089425124,0.2044002838892832
0.8,149,61,974,225,0.7095238095238096,0.3983957219251337,0.5102739726027398,0.7970191625266146,0.149041873669269
0.85,87,31,1004,287,0.7372881355932204,0.232620320855615,0.3536585365853659,0.7743080198722498,0.08374733853797019
0.9,19,6,1029,355,0.76,0.05080213903743316,0.09523809523809525,0.7437899219304471,0.017743080198722498
0.95,0,0,1035,374,0.0,0.0,0.0,0.7345635202271115,0.0
